Brand,Tweet,Sentiment Score,Sentiment,Likes,Retweets,Time,Hashtags,Mentions,Username,Profile Image,Media,Device,Location,Date
Samsung,Je m'en fous des iPhones j'ai toujours eu des Samsung,0.0,Neutral,,,2025-04-09 11:07:54+00:00,,,Oscar68686,Not Available,https://pbs.twimg.com/profile_images/1907797723018915840/dB7M0-h6_bigger.jpg,Unknown,"Hérault, Languedoc-Roussillon",2025-04-09
Samsung,"Mlm ini juga aku jabanin, ",-0.34,Negative,,,2025-04-09 11:07:53+00:00,,,RcSamsung1,Not Available,https://pbs.twimg.com/profile_images/1906290841351778304/swNUgCgv_bigger.jpg,Unknown,Unknown,2025-04-09
Samsung,진만누나 믿어요,0.0,Neutral,,,2025-04-09 11:07:52+00:00,,,PuDdInG5_,Not Available,https://pbs.twimg.com/profile_images/1906835893853552640/gStwhgCr_bigger.jpg,Unknown,21,2025-04-09
Samsung,"Samsungのリングも見てみたら5〜15号
誰のどの指に付けること前提なんだろう？大人が真面目に考えて決定したことだろうからイヤなら買わなきゃ良いだけの事。",0.0,Neutral,,,2025-04-09 11:07:48+00:00,,,kenji_yogi,Not Available,https://pbs.twimg.com/profile_images/1667149328648130561/icgOzA_M_bigger.jpg,Unknown,St john's co-cathedral,2025-04-09
Samsung,"Aku pengguna samsung dari tahun 2018, hp pertamaku j2 pro bahkan sampe sekarang masih dipake walaupun udh bolak balik kebanting . Hp keduaku jg samsung m21, bolak balik jatuh alhamdulilah masih hidup ",0.0,Neutral,,,2025-04-09 11:07:41+00:00,,,calonkamumas,Not Available,https://pbs.twimg.com/profile_images/1760906912659570688/L3UE4IwT_bigger.jpg,Unknown,di rumah,2025-04-09
Samsung,Samsung,0.0,Neutral,,,2025-04-09 11:07:39+00:00,,,DamaKalume,Not Available,https://pbs.twimg.com/profile_images/1878200426736082944/KCcmeav-_bigger.jpg,Unknown,"Watamu, Kenya",2025-04-09
Samsung,"tampilan UI samsung itu udah kuno mbak, HP terbaru mereka aja masih sama tampilannya dengan J5  coba dulu rasain brand lain, dari segi spek aja dengan harga mid range udah jauh samsung ini ketinggalan.",0.0,Neutral,,,2025-04-09 11:07:39+00:00,,,muhammadiqbalq,Not Available,https://pbs.twimg.com/profile_images/1826658957353779205/_PiMXK_H_bigger.jpg,Unknown,dunia yang fana,2025-04-09
Samsung,"Udh selesai aja, tp jujur,suka bgt ama ending nya yg beginii",0.0,Neutral,,,2025-04-09 11:07:32+00:00,,,RcSamsung1,Not Available,https://pbs.twimg.com/profile_images/1906290841351778304/swNUgCgv_bigger.jpg,Unknown,Unknown,2025-04-09
Samsung,Trying to figure out do I go for a 32in Samsung odyssey or a Phillips Evnia since want to upgrade the monitor I have from 27in flat to a curved monitor an these 2 seem to look pretty decent,0.5423,Positive,,,2025-04-09 11:07:30+00:00,,,Exg4Anubis,Not Available,https://pbs.twimg.com/profile_images/1900662668026892288/4T8tFKDq_bigger.jpg,Unknown,Entertainment & Recreation,2025-04-09
Samsung,Samsung,0.0,Neutral,,,2025-04-09 11:07:23+00:00,,,victoromondi144,Not Available,https://pbs.twimg.com/profile_images/1357790242837782531/FfA3GfQp_bigger.jpg,Unknown,"Mombasa, Kenya",2025-04-09
Samsung,penyakit lama samsung sii,0.0,Neutral,,,2025-04-09 11:07:19+00:00,,,krisna_ajp,Not Available,https://pbs.twimg.com/profile_images/1779494059423490048/Izrxn847_bigger.jpg,Unknown,Unknown,2025-04-09
Samsung,Hopefully this will be the last time this pops up when I try to do a software update #Samsung    #OneUI7 #galaxyS24Ultra #iykyk #chicago #windycity,0.4019,Positive,,,2025-04-09 11:07:18+00:00,"#Samsung, #OneUI7, #galaxyS24Ultra, #iykyk, #chicago, #windycity",,JoseDelgado2630,https://pbs.twimg.com/media/GoFrmWDXUAAZvQ9?format=jpg&name=medium,https://pbs.twimg.com/profile_images/1881371662139944960/HF-CThKU_bigger.jpg,Unknown,"Chicago, IL",2025-04-09
Samsung,"J’ai installé un frigo Samsung sous un pont, 1200€/ mois !",0.0,Neutral,,,2025-04-09 11:07:09+00:00,,,Majorum1200,Not Available,https://pbs.twimg.com/profile_images/1683193302043045889/rDvEsvA7_bigger.png,Unknown,La lune de Termina,2025-04-09
Samsung,خاص,0.0,Neutral,,,2025-04-09 11:07:03+00:00,,,Samsung78714830,Not Available,https://pbs.twimg.com/profile_images/1583099828334100482/BDsaOnG3_bigger.png,Unknown,المملكة الأردنية الهاشمية,2025-04-09
Samsung,Cinta Samsung dah pokona,0.0,Neutral,,,2025-04-09 11:07:01+00:00,,,narigato_,Not Available,https://pbs.twimg.com/profile_images/1904359581570269184/ZDgpdspj_bigger.jpg,Unknown,Entertainment & Recreation,2025-04-09
Samsung,"Mdr non c'est un Samsung rien a voir
Blague à part 
Tu peux pas te plaindre de la gauche si tu profite de l'école la secu les 35h les congés payés 
Les week-ends etc?
Pour lutter contre le capitalisme il faut vivre en autarcie et la je pourrais m'en plaindre?",0.0,Neutral,,,2025-04-09 11:07:00+00:00,,,pig_sel,Not Available,https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,Unknown,Unknown,2025-04-09
Samsung,Fix clo ama aku aja ya,0.0,Neutral,,,2025-04-09 11:06:54+00:00,,,RcSamsung1,Not Available,https://pbs.twimg.com/profile_images/1906290841351778304/swNUgCgv_bigger.jpg,Unknown,Unknown,2025-04-09
Samsung,Samsung,0.0,Neutral,,,2025-04-09 11:06:53+00:00,,,haywhyy09,Not Available,https://pbs.twimg.com/profile_images/1715018562996158464/-K4N5m4s_bigger.jpg,Unknown,Emirate stadium,2025-04-09
Samsung,"A customer reached out to us for a Samsung SS2, and we delivered with peace of mind  Thank you for always trusting Shams.",0.8442,Positive,,,2025-04-09 11:06:42+00:00,,,shamsonibata1,https://pbs.twimg.com/media/GoFrdfSXMAAyaTM?format=jpg&name=small,https://pbs.twimg.com/profile_images/1565186770081386499/vWk8jpFI_bigger.jpg,Unknown,"Abuja, Nigeria",2025-04-09
Samsung,PcComponentes tumba el precio de un monitor Samsung de 27 pulgadas a menos de 100 euros ,0.0,Neutral,,,2025-04-09 11:06:23+00:00,,,adslzone,Not Available,https://pbs.twimg.com/profile_images/1234865684351537152/F614aShe_bigger.jpg,Unknown,Media & News Company,2025-04-09
Samsung,"bener banget... sumpah paling gasuka sharing charger. makanya tiap ada yg mau pinjem, aku selalu nolak kecuali buat ngecharge sesama samsung. meskipun cuma pinjem kabelnya, bisa error seharian dan bikin badmood. tp awet bgt ini smp skrg baterainya awet tp bosen sm hpnya sudah :/",-0.3182,Negative,,,2025-04-09 11:06:18+00:00,,,bwubibie,Not Available,https://pbs.twimg.com/profile_images/1896389290348998656/9_rOWGZt_bigger.jpg,Unknown,unlabeled,2025-04-09
Samsung,خاص انا مصري,0.0,Neutral,,,2025-04-09 11:05:51+00:00,,,Samsung78714830,Not Available,https://pbs.twimg.com/profile_images/1583099828334100482/BDsaOnG3_bigger.png,Unknown,المملكة الأردنية الهاشمية,2025-04-09
Samsung,"Since i was young, i have always love all Samsung products, nd i have been wanting to use a good Samsung phone, but my income ",0.5499,Positive,,,2025-04-09 11:05:47+00:00,,,kingjosh07010,Not Available,https://pbs.twimg.com/profile_images/1760411164062752769/9s2jdK1T_bigger.jpg,Unknown,Other,2025-04-09
Samsung,"Aku open kaa

WA ke http://wa.me/+6287771113666",0.0,Neutral,,,2025-04-09 11:05:46+00:00,,,MASWONFEEL,https://pbs.twimg.com/media/GoFrTV4aMAAMAKe?format=jpg&name=small,https://pbs.twimg.com/profile_images/1591734193574137856/xX8CnlUN_bigger.jpg,Unknown,Shopping & Retail,2025-04-09
Samsung,"【Cell Phones & Accessories】TOP  6 on 4/9 !
INIU Portable Charger, Slimmest 10000mAh 5V/3A Power Bank, USB C in&out High-Speed Charging Battery Pack, External Phone Powerbank Compatible with iPhone 16 15 14 13 12 Samsung S22 S21 Google iPad etc
#pr",0.0,Neutral,,,2025-04-09 11:05:43+00:00,#pr,,aslw3023,Not Available,https://pbs.twimg.com/profile_images/1334026959546843136/mRagPy4p_bigger.jpg,Unknown,Unknown,2025-04-09
Samsung,Caramba tô muito feliz que eu achei um canal na Samsung tv plus que literalmente SÓ PASSA Naruto,0.0,Neutral,,,2025-04-09 11:05:43+00:00,,,Leo_Oliveiraa4,Not Available,https://pbs.twimg.com/profile_images/1823832519940231168/gUSt9STA_bigger.jpg,Unknown,"Rio de Janeiro, Brasil",2025-04-09
Samsung,"Our phones are same too..   
I mean Samsung ",0.0,Neutral,,,2025-04-09 11:05:36+00:00,,,lovekoyajoonie,Not Available,https://pbs.twimg.com/profile_images/1865453784329293824/_-QUvY5H_bigger.jpg,Unknown,Bora world,2025-04-09
Samsung,"Ini samsung A55 video dan foto, so far semuanya bagus, minusnya (aku selalu setting kamera manual)",0.0,Neutral,,,2025-04-09 11:05:18+00:00,,,skyindahh,https://pbs.twimg.com/media/GoE5yb2agAAFFrP?format=jpg&name=small,https://pbs.twimg.com/profile_images/1672579018183548928/BIvkH74i_bigger.jpg,Unknown,req dm delay. Mt after dm,2025-04-09
Samsung,"China is indeed an amazing country and culture. That said they were SO FAR behind the US until we basically gave them what they have. A quick summary of AI chips, manufacturing and design.
Foundary: TMSC, Samsung, Intel - Taiwan, S. Korea, US
Chip Design: NVDIA, AMD, Intel,",0.5859,Positive,,,2025-04-09 11:05:13+00:00,,,lesser_mfl,Not Available,https://pbs.twimg.com/profile_images/1125745237555544064/ZsFP-8v0_bigger.jpg,Unknown,"Florida, USA",2025-04-09
